category,instance_token,x,y,z,width,length,height,visibility,num_lidar_pts,num_radar_pts
movable_object.barrier,6b9c9912fecb4847b93e81eb10da83a2,1340.124,1032.575,0.154,3.28,0.533,0.91,visibility of whole object is between 80 and 100%,20,2
movable_object.barrier,eba0e66da99b4127bcbc5f75e8dd8a1a,1273.894,1072.524,0.908,2.902,0.488,0.944,visibility of whole object is between 80 and 100%,0,1
movable_object.barrier,39f727108189464dadaec4bf8d88ce6e,1335.042,1037.999,0.407,3.118,0.413,0.916,visibility of whole object is between 80 and 100%,31,0
movable_object.barrier,451f91f4b7b548f890ef4ba5c2685e8b,1345.406,1027.941,-0.246,3.284,0.522,0.91,visibility of whole object is between 80 and 100%,5,0
human.pedestrian.adult,afd097377c71479ea8349eeae83b8143,1297.217,1034.028,0.358,0.567,0.882,1.627,visibility of whole object is between 60 and 80%,5,0
vehicle.car,d9a4df9e92804a44a039eb21e0dc1349,1181.87,1122.359,2.116,2.176,4.746,1.748,visibility of whole object is between 80 and 100%,0,1
vehicle.car,2d7491faabc447769e1f2003f23c50e9,1326.916,1029.509,0.897,1.991,4.562,1.494,visibility of whole object is between 0 and 40%,0,3
vehicle.car,7a8b24608009457b963da57aa18beb58,1277.031,1033.186,0.322,2.03,4.717,1.387,visibility of whole object is between 80 and 100%,7,1
vehicle.bus.rigid,7e799fdef2e94598b5e29af80a587359,1274.791,1021.332,0.905,2.557,7.407,2.811,visibility of whole object is between 0 and 40%,4,0
human.pedestrian.adult,18cdcf0d2340409b95140ea38a70fd2e,1293.229,1033.246,0.388,0.715,0.935,1.682,visibility of whole object is between 80 and 100%,3,0
vehicle.car,888521a8b57f46258e81a89bf062278b,1184.486,1119.001,2.366,2.217,4.734,1.981,visibility of whole object is between 40 and 60%,0,1
human.pedestrian.adult,f53b4aa3d74e473c90afb956e618e3ce,1241.295,1063.646,1.156,0.681,0.708,1.986,visibility of whole object is between 80 and 100%,1,1
human.pedestrian.adult,2397a588f42e4195bf7fb0148aa7a3d6,1295.022,1034.275,0.416,0.921,1.027,1.909,visibility of whole object is between 80 and 100%,10,0
movable_object.barrier,c7d9c788b68c4e2fae96140ccfa8e1c8,1333.186,1040.597,0.635,2.884,0.422,0.972,visibility of whole object is between 80 and 100%,35,0
vehicle.car,ff07eea720434dc0ba0ccdef45cb318c,1313.096,1036.989,0.652,1.861,4.554,1.473,visibility of whole object is between 80 and 100%,2445,0
